id,Danceability
17170,5.0
17171,6.0
17172,4.0
17173,3.0
17174,6.0
17175,5.0
17176,4.0
17177,3.0
17178,3.0
17179,3.0
17180,5.0
17181,5.0
17182,6.0
17183,6.0
17184,4.0
17185,5.0
17186,5.0
17187,2.0
17188,4.0
17189,5.0
17190,8.0
17191,7.0
17192,8.0
17193,8.0
17194,5.0
17195,8.0
17196,7.0
17197,7.0
17198,9.0
17199,4.0
17200,5.0
17201,3.0
17202,0.0
17203,1.0
17204,6.0
17205,3.0
17206,7.0
17207,2.0
17208,2.0
17209,2.0
17210,5.0
17211,5.0
17212,1.0
17213,8.0
17214,6.0
17215,6.0
17216,7.0
17217,6.0
17218,7.0
17219,5.0
17220,7.0
17221,2.0
17222,6.0
17223,5.0
17224,3.0
17225,1.0
17226,5.0
17227,3.0
17228,4.0
17229,3.0
17230,2.0
17231,4.0
17232,3.0
17233,2.0
17234,2.0
17235,5.0
17236,3.0
17237,1.0
17238,1.0
17239,4.0
17240,1.0
17241,2.0
17242,0.0
17243,5.0
17244,1.0
17245,4.0
17246,5.0
17247,7.0
17248,3.0
17249,6.0
17250,2.0
17251,4.0
17252,4.0
17253,3.0
17254,5.0
17255,7.0
17256,5.0
17257,6.0
17258,3.0
17259,4.0
17260,5.0
17261,5.0
17262,7.0
17263,9.0
17264,5.0
17265,7.0
17266,5.0
17267,5.0
17268,8.0
17269,6.0
17270,7.0
17271,9.0
17272,5.0
17273,6.0
17274,7.0
17275,7.0
17276,5.0
17277,4.0
17278,5.0
17279,5.0
17280,4.0
17281,6.0
17282,1.0
17283,7.0
17284,7.0
17285,7.0
17286,4.0
17287,4.0
17288,8.0
17289,5.0
17290,6.0
17291,5.0
17292,7.0
17293,5.0
17294,8.0
17295,7.0
17296,5.0
17297,4.0
17298,5.0
17299,8.0
17300,9.0
17301,7.0
17302,6.0
17303,1.0
17304,6.0
17305,5.0
17306,5.0
17307,4.0
17308,3.0
17309,7.0
17310,7.0
17311,6.0
17312,4.0
17313,5.0
17314,7.0
17315,7.0
17316,5.0
17317,6.0
17318,4.0
17319,5.0
17320,8.0
17321,4.0
17322,4.0
17323,3.0
17324,3.0
17325,3.0
17326,5.0
17327,2.0
17328,2.0
17329,5.0
17330,3.0
17331,5.0
17332,5.0
17333,2.0
17334,3.0
17335,4.0
17336,7.0
17337,5.0
17338,7.0
17339,6.0
17340,6.0
17341,8.0
17342,5.0
17343,2.0
17344,2.0
17345,2.0
17346,6.0
17347,5.0
17348,5.0
17349,3.0
17350,6.0
17351,4.0
17352,6.0
17353,6.0
17354,7.0
17355,4.0
17356,5.0
17357,6.0
17358,5.0
17359,8.0
17360,6.0
17361,7.0
17362,7.0
17363,7.0
17364,6.0
17365,6.0
17366,5.0
17367,8.0
17368,8.0
17369,7.0
17370,9.0
17371,8.0
17372,5.0
17373,4.0
17374,4.0
17375,5.0
17376,5.0
17377,0.0
17378,4.0
17379,8.0
17380,5.0
17381,6.0
17382,7.0
17383,7.0
17384,9.0
17385,6.0
17386,6.0
17387,7.0
17388,7.0
17389,6.0
17390,7.0
17391,6.0
17392,8.0
17393,6.0
17394,6.0
17395,5.0
17396,8.0
17397,5.0
17398,5.0
17399,5.0
17400,5.0
17401,3.0
17402,5.0
17403,5.0
17404,6.0
17405,8.0
17406,3.0
17407,5.0
17408,4.0
17409,5.0
17410,3.0
17411,6.0
17412,3.0
17413,7.0
17414,7.0
